usuario_id,sector,ciudad,edad,genero,dispositivo,nivel_formativo,plan_acceso,formato,progreso_percent,dias_inactivo,interacciones,evaluaciones_completadas,tiempo_total_horas,n_sesiones,abandono
U00030,universitaria,Barcelona,49,Otro,escritorio,básico,empresa,en vivo,43.4,2,36,1,81.99,5,0
U00031,universitaria,Valencia,46,F,escritorio,básico,privado,asincrónico,91.4,2,7,2,18.13,21,0
U00032,corporativa,Bilbao,56,Otro,tablet,básico,gratuito,híbrido,13.8,2,22,4,45.91,12,0
U00033,corporativa,Valencia,56,Otro,tablet,avanzado,gratuito,asincrónico,87.0,5,87,1,24.96,23,0
U00034,universitaria,Barcelona,35,F,tablet,intermedio,privado,en vivo,43.8,5,7,1,13.58,8,0
U00035,corporativa,Madrid,40,Otro,móvil,básico,gratuito,asincrónico,7.8,3,33,0,1.93,18,0
U00036,subvencionada,Zaragoza,47,M,tablet,intermedio,privado,asincrónico,74.2,1,86,0,15.31,22,0
U00037,universitaria,Bilbao,33,M,móvil,intermedio,subvencionado,en vivo,76.7,3,51,2,2.01,2,0
U00038,corporativa,Zaragoza,51,M,móvil,intermedio,subvencionado,en vivo,77.2,2,69,0,30.96,6,0
U00039,subvencionada,Bilbao,21,M,tablet,intermedio,subvencionado,en vivo,0.0,3,35,1,30.1,2,0
U00040,universitaria,Valencia,21,Otro,escritorio,básico,gratuito,en vivo,73.8,6,42,2,5.84,14,0
U00041,universitaria,Barcelona,27,M,tablet,avanzado,empresa,asincrónico,20.2,0,57,1,50.66,28,0
U00042,universitaria,Valencia,31,M,tablet,intermedio,privado,asincrónico,58.1,1,71,1,1.09,24,0
U00043,universitaria,Barcelona,20,M,escritorio,intermedio,subvencionado,en vivo,56.4,1,8,0,5.43,15,0
U00044,corporativa,Bilbao,37,Otro,tablet,avanzado,privado,en vivo,17.3,5,68,4,49.62,26,0
U00045,subvencionada,Sevilla,26,Otro,escritorio,básico,privado,asincrónico,79.0,2,96,2,26.71,5,0
U00046,subvencionada,Bilbao,53,Otro,escritorio,intermedio,privado,en vivo,63.6,2,21,2,18.28,18,0
U00047,universitaria,Bilbao,23,F,tablet,avanzado,gratuito,híbrido,42.5,3,36,0,16.16,4,0
U00048,subvencionada,Zaragoza,26,M,escritorio,básico,empresa,híbrido,64.9,3,29,1,23.05,14,0
U00049,subvencionada,Bilbao,44,Otro,escritorio,avanzado,empresa,híbrido,81.6,3,97,0,4.72,14,0
U00050,corporativa,Barcelona,42,M,escritorio,avanzado,gratuito,en vivo,37.7,3,71,4,14.71,10,0
U00051,subvencionada,Barcelona,18,Otro,tablet,intermedio,privado,en vivo,8.2,4,48,4,56.54,19,0
U00052,universitaria,Barcelona,22,F,escritorio,avanzado,gratuito,asincrónico,77.5,4,5,0,46.65,15,0
U00053,subvencionada,Sevilla,44,F,escritorio,intermedio,subvencionado,en vivo,62.1,3,52,3,4.21,3,0
U00054,subvencionada,Zaragoza,55,F,escritorio,intermedio,privado,asincrónico,25.6,2,38,0,152.8,1,0
U00055,subvencionada,Madrid,44,M,móvil,básico,gratuito,asincrónico,11.0,2,18,4,25.5,16,0
U00056,universitaria,Sevilla,37,F,móvil,intermedio,gratuito,asincrónico,34.6,1,43,4,0.72,2,0
U00057,universitaria,Zaragoza,30,M,tablet,básico,subvencionado,híbrido,79.2,4,73,1,10.27,9,0
U00058,universitaria,Sevilla,55,M,escritorio,básico,empresa,asincrónico,0.0,2,24,0,22.64,16,0
U00059,subvencionada,Bilbao,29,F,móvil,básico,gratuito,en vivo,100.0,3,76,2,48.44,10,0
U00060,subvencionada,Sevilla,42,M,escritorio,básico,subvencionado,asincrónico,24.4,3,63,1,50.51,7,0
U00061,universitaria,Madrid,37,F,escritorio,básico,gratuito,híbrido,44.5,4,92,0,28.93,7,0
U00062,subvencionada,Zaragoza,54,Otro,móvil,básico,empresa,híbrido,80.0,2,53,3,42.82,1,0
U00063,subvencionada,Valencia,49,M,escritorio,básico,subvencionado,asincrónico,83.1,2,23,2,21.46,29,0
U00064,universitaria,Bilbao,34,M,móvil,avanzado,subvencionado,en vivo,72.3,2,81,4,10.92,10,0
U00065,universitaria,Madrid,40,M,escritorio,básico,privado,en vivo,32.3,3,36,0,44.14,9,0
U00066,corporativa,Bilbao,40,M,tablet,básico,gratuito,asincrónico,76.7,2,94,3,21.91,15,0
U00067,universitaria,Madrid,50,F,tablet,avanzado,empresa,en vivo,55.8,3,45,0,15.68,13,0
U00068,corporativa,Zaragoza,31,F,móvil,avanzado,empresa,asincrónico,71.6,3,29,1,15.33,12,0
U00069,corporativa,Bilbao,31,Otro,escritorio,intermedio,subvencionado,en vivo,45.0,2,53,0,1.03,10,0
U00070,corporativa,Valencia,23,F,tablet,básico,empresa,en vivo,89.2,3,17,1,2.47,11,0
U00071,corporativa,Bilbao,23,Otro,tablet,básico,gratuito,asincrónico,43.3,4,40,2,1.76,17,0
U00072,corporativa,Madrid,41,Otro,tablet,avanzado,privado,híbrido,66.0,3,90,1,46.42,3,0
U00073,corporativa,Madrid,22,Otro,tablet,avanzado,empresa,híbrido,82.2,3,7,1,37.77,18,0
U00074,subvencionada,Madrid,20,F,móvil,básico,privado,en vivo,39.0,3,90,1,25.03,26,0
U00075,universitaria,Valencia,43,M,escritorio,avanzado,privado,asincrónico,50.9,5,35,1,14.19,26,0
U00076,universitaria,Sevilla,19,M,escritorio,avanzado,subvencionado,asincrónico,39.2,0,73,1,5.46,17,0
U00077,subvencionada,Bilbao,45,Otro,escritorio,intermedio,gratuito,híbrido,48.5,5,51,3,45.36,28,0
U00078,corporativa,Madrid,19,F,tablet,básico,subvencionado,híbrido,100.0,1,42,3,25.39,23,0
U00079,corporativa,Sevilla,39,F,escritorio,intermedio,gratuito,asincrónico,65.3,4,40,1,2.72,19,0
U00080,corporativa,Valencia,42,Otro,escritorio,intermedio,subvencionado,híbrido,81.7,4,61,1,52.8,11,0
U00081,subvencionada,Sevilla,56,F,móvil,intermedio,gratuito,asincrónico,83.6,3,83,0,7.17,10,0
U00082,universitaria,Madrid,19,F,móvil,básico,subvencionado,híbrido,74.3,4,38,0,42.56,19,0
U00083,universitaria,Madrid,24,F,móvil,intermedio,empresa,asincrónico,23.5,3,87,2,36.76,28,0
U00084,universitaria,Barcelona,25,Otro,tablet,avanzado,gratuito,híbrido,0.0,7,42,1,1.07,19,0
U00085,universitaria,Madrid,29,M,móvil,básico,privado,asincrónico,48.6,1,69,4,112.02,10,0
U00086,universitaria,Bilbao,50,M,escritorio,básico,gratuito,en vivo,59.5,3,82,3,26.12,3,0
U00087,corporativa,Madrid,35,Otro,tablet,intermedio,subvencionado,en vivo,75.7,4,79,0,27.77,26,0
U00088,universitaria,Bilbao,36,Otro,escritorio,intermedio,empresa,en vivo,100.0,2,70,1,40.84,9,0
U00089,universitaria,Barcelona,35,Otro,tablet,avanzado,privado,híbrido,65.9,5,48,3,3.59,21,0
U00090,universitaria,Valencia,47,M,móvil,intermedio,subvencionado,asincrónico,53.4,2,23,4,17.72,14,0
U00091,corporativa,Barcelona,35,Otro,móvil,intermedio,subvencionado,asincrónico,97.2,2,92,3,31.21,22,0
U00092,corporativa,Sevilla,47,Otro,escritorio,intermedio,privado,asincrónico,54.1,5,91,3,14.31,10,0
U00093,corporativa,Bilbao,22,F,móvil,básico,privado,asincrónico,93.8,4,66,0,10.09,25,0
U00094,universitaria,Valencia,23,F,tablet,básico,privado,asincrónico,93.2,3,23,2,14.66,13,0
U00095,universitaria,Madrid,20,F,tablet,intermedio,subvencionado,asincrónico,0.0,0,36,3,28.39,29,0
U00096,universitaria,Bilbao,55,F,móvil,básico,privado,híbrido,26.4,4,25,4,18.38,4,0
U00097,subvencionada,Sevilla,52,F,tablet,intermedio,privado,en vivo,42.7,3,93,2,44.3,19,0
U00098,subvencionada,Bilbao,34,F,tablet,intermedio,subvencionado,asincrónico,47.8,0,32,2,39.63,22,0
U00099,corporativa,Sevilla,26,F,tablet,básico,subvencionado,en vivo,77.7,1,73,4,0.08,8,0
U00100,corporativa,Valencia,45,Otro,móvil,intermedio,empresa,asincrónico,54.4,8,87,2,11.78,14,0
U00101,subvencionada,Sevilla,49,F,tablet,avanzado,gratuito,híbrido,52.0,4,90,1,10.43,23,0
U00102,universitaria,Bilbao,36,F,móvil,intermedio,subvencionado,en vivo,31.6,4,18,3,10.12,23,0
U00103,universitaria,Barcelona,39,Otro,tablet,básico,subvencionado,asincrónico,32.1,2,31,3,2.69,17,0
U00104,universitaria,Valencia,18,Otro,escritorio,avanzado,gratuito,en vivo,83.8,2,83,3,119.85,29,0
U00105,corporativa,Madrid,18,Otro,móvil,básico,gratuito,asincrónico,53.1,2,89,4,2.12,13,0
U00106,universitaria,Zaragoza,18,Otro,escritorio,intermedio,gratuito,híbrido,37.4,1,53,2,16.99,22,0
U00107,subvencionada,Madrid,49,M,móvil,avanzado,empresa,asincrónico,78.7,3,19,2,13.92,20,0
U00108,universitaria,Bilbao,50,F,tablet,intermedio,gratuito,híbrido,21.4,3,55,2,0.8,7,0
U00109,universitaria,Valencia,21,M,tablet,básico,empresa,asincrónico,68.8,2,23,0,38.54,7,0
U00110,subvencionada,Valencia,18,F,tablet,avanzado,gratuito,híbrido,62.3,1,64,4,21.93,4,0
U00111,corporativa,Barcelona,28,F,tablet,avanzado,gratuito,asincrónico,65.5,2,15,4,22.34,8,0
U00112,subvencionada,Sevilla,32,Otro,móvil,avanzado,empresa,en vivo,78.6,1,10,3,9.5,17,0
U00113,subvencionada,Madrid,18,M,tablet,avanzado,privado,asincrónico,65.8,1,14,0,28.0,4,0
U00114,universitaria,Sevilla,25,Otro,móvil,avanzado,subvencionado,asincrónico,87.6,5,69,3,37.16,2,0
U00115,corporativa,Sevilla,36,F,escritorio,básico,privado,en vivo,82.7,2,35,2,30.66,17,0
U00116,corporativa,Madrid,41,Otro,tablet,intermedio,empresa,asincrónico,67.4,8,80,3,12.74,23,0
U00117,universitaria,Zaragoza,52,Otro,escritorio,básico,privado,asincrónico,62.5,3,91,4,48.22,1,0
U00118,subvencionada,Zaragoza,26,Otro,móvil,básico,empresa,asincrónico,57.6,2,46,4,60.68,12,0
U00119,subvencionada,Valencia,57,M,escritorio,avanzado,gratuito,asincrónico,100.0,2,26,3,12.46,9,0
U00120,corporativa,Valencia,51,Otro,escritorio,avanzado,privado,asincrónico,82.8,2,22,2,16.17,6,0
U00121,corporativa,Bilbao,35,M,tablet,básico,privado,híbrido,50.5,5,12,4,39.74,29,0
U00122,corporativa,Zaragoza,59,Otro,móvil,básico,gratuito,híbrido,43.8,3,83,1,20.39,27,0
U00123,universitaria,Barcelona,29,F,escritorio,intermedio,empresa,híbrido,41.5,3,48,3,15.82,3,0
U00124,corporativa,Valencia,51,M,escritorio,básico,subvencionado,híbrido,48.5,2,23,1,99.06,25,0
U00125,corporativa,Barcelona,57,F,tablet,avanzado,privado,híbrido,80.8,5,86,4,40.38,19,0
U00126,universitaria,Barcelona,35,Otro,escritorio,intermedio,privado,en vivo,92.9,4,5,1,6.43,10,0
U00127,corporativa,Zaragoza,57,M,móvil,avanzado,empresa,híbrido,70.1,3,69,2,20.92,1,0
U00128,universitaria,Zaragoza,18,M,móvil,avanzado,subvencionado,en vivo,46.8,5,67,4,31.64,18,0
U00129,corporativa,Valencia,51,Otro,escritorio,avanzado,privado,híbrido,68.1,4,86,4,46.16,18,0
U00130,corporativa,Valencia,27,M,móvil,avanzado,gratuito,en vivo,92.3,4,76,1,11.52,18,0
U00131,subvencionada,Valencia,44,Otro,escritorio,intermedio,privado,asincrónico,100.0,4,55,3,42.3,1,0
U00132,subvencionada,Zaragoza,38,M,móvil,básico,empresa,en vivo,71.0,2,57,0,26.15,14,0
U00133,universitaria,Zaragoza,49,Otro,móvil,básico,privado,híbrido,36.9,2,47,3,4.96,20,0
U00134,corporativa,Madrid,43,Otro,escritorio,intermedio,subvencionado,asincrónico,75.4,2,37,0,22.72,19,0
U00135,subvencionada,Barcelona,40,Otro,móvil,intermedio,subvencionado,híbrido,40.4,2,56,4,6.25,29,0
U00136,corporativa,Zaragoza,22,Otro,tablet,avanzado,privado,en vivo,45.9,4,45,2,28.45,25,0
U00137,universitaria,Zaragoza,38,M,móvil,básico,empresa,híbrido,78.5,2,95,4,6.38,4,0
U00138,corporativa,Madrid,20,Otro,escritorio,básico,empresa,asincrónico,33.0,2,19,0,21.66,11,0
U00139,universitaria,Madrid,31,F,escritorio,básico,privado,en vivo,57.1,4,16,1,49.65,29,0
U00140,subvencionada,Bilbao,59,M,móvil,intermedio,subvencionado,asincrónico,53.0,4,55,4,20.64,13,0
U00141,universitaria,Sevilla,41,F,tablet,intermedio,privado,en vivo,26.8,5,88,0,6.84,11,0
U00142,corporativa,Sevilla,26,Otro,tablet,básico,subvencionado,híbrido,58.2,2,26,2,19.51,12,0
U00143,corporativa,Zaragoza,50,Otro,escritorio,básico,subvencionado,en vivo,38.9,5,92,4,38.43,18,0
U00144,subvencionada,Valencia,35,M,móvil,avanzado,gratuito,híbrido,34.7,3,74,1,24.35,4,0
U00145,corporativa,Valencia,56,M,tablet,básico,gratuito,híbrido,75.6,3,65,0,50.33,8,0
U00146,corporativa,Sevilla,20,Otro,tablet,avanzado,privado,en vivo,21.6,3,49,3,12.51,29,0
U00147,corporativa,Madrid,34,F,escritorio,intermedio,empresa,asincrónico,31.5,2,87,4,5.61,2,0
U00148,corporativa,Madrid,53,M,móvil,avanzado,gratuito,en vivo,85.3,3,98,2,36.5,29,0
U00149,universitaria,Sevilla,37,F,móvil,intermedio,gratuito,en vivo,12.6,0,70,2,30.35,21,0
U00150,universitaria,Valencia,42,M,escritorio,intermedio,subvencionado,asincrónico,100.0,3,83,2,5.92,14,0
U00151,universitaria,Madrid,47,Otro,escritorio,avanzado,subvencionado,asincrónico,33.1,4,55,4,40.35,26,0
U00152,corporativa,Madrid,36,Otro,tablet,básico,empresa,en vivo,65.1,3,31,4,19.09,5,0
U00153,universitaria,Barcelona,19,M,tablet,avanzado,empresa,asincrónico,59.5,2,57,4,9.46,12,0
U00154,universitaria,Bilbao,51,M,escritorio,intermedio,subvencionado,híbrido,58.1,6,34,3,31.34,7,0
U00155,corporativa,Barcelona,34,Otro,móvil,avanzado,subvencionado,híbrido,51.4,3,83,3,59.86,28,0
U00156,corporativa,Madrid,50,F,escritorio,intermedio,privado,asincrónico,70.2,4,82,2,69.7,21,0
U00157,universitaria,Zaragoza,21,Otro,escritorio,avanzado,gratuito,híbrido,80.8,5,8,3,24.91,24,0
U00158,subvencionada,Valencia,29,F,escritorio,avanzado,subvencionado,asincrónico,100.0,2,84,3,3.54,28,0
U00159,universitaria,Madrid,33,F,escritorio,avanzado,empresa,en vivo,57.5,3,78,3,35.82,6,0
U00160,universitaria,Sevilla,18,F,móvil,intermedio,subvencionado,en vivo,50.8,3,16,2,30.84,20,0
U00161,corporativa,Bilbao,31,Otro,móvil,avanzado,gratuito,en vivo,61.1,0,40,0,2.69,18,0
U00162,universitaria,Sevilla,30,Otro,escritorio,avanzado,gratuito,en vivo,31.3,3,52,0,1.55,24,0
U00163,universitaria,Bilbao,34,F,tablet,intermedio,subvencionado,híbrido,75.4,3,76,2,31.32,16,0
U00164,subvencionada,Madrid,46,Otro,móvil,básico,empresa,asincrónico,71.4,4,17,4,40.75,5,0
U00165,subvencionada,Sevilla,37,Otro,escritorio,avanzado,empresa,asincrónico,98.1,4,18,2,28.76,18,0
U00166,corporativa,Valencia,52,Otro,móvil,básico,gratuito,asincrónico,15.2,0,59,3,12.31,7,0
U00167,universitaria,Bilbao,32,F,escritorio,intermedio,subvencionado,en vivo,94.2,2,86,3,23.76,3,0
U00168,universitaria,Bilbao,22,M,tablet,avanzado,subvencionado,asincrónico,65.4,3,99,2,3.83,20,0
U00169,universitaria,Madrid,42,Otro,móvil,intermedio,subvencionado,híbrido,30.1,1,54,1,10.79,21,0
U00170,universitaria,Barcelona,29,Otro,escritorio,avanzado,privado,asincrónico,68.4,3,72,4,20.71,27,0
U00171,corporativa,Sevilla,44,M,móvil,avanzado,subvencionado,híbrido,78.1,4,71,4,19.83,24,0
U00172,corporativa,Sevilla,53,Otro,escritorio,intermedio,privado,asincrónico,57.4,3,44,0,20.45,23,0
U00173,corporativa,Valencia,39,F,escritorio,avanzado,empresa,en vivo,20.3,3,95,3,13.5,10,0
U00174,subvencionada,Barcelona,39,M,móvil,intermedio,privado,híbrido,97.5,1,74,3,23.81,20,0
U00175,subvencionada,Barcelona,24,Otro,móvil,intermedio,privado,en vivo,66.8,4,12,2,3.65,23,0
U00176,corporativa,Zaragoza,58,Otro,móvil,intermedio,empresa,híbrido,69.3,1,50,2,12.81,12,0
U00177,universitaria,Barcelona,27,Otro,móvil,avanzado,privado,en vivo,85.2,2,87,1,11.54,1,0
U00178,subvencionada,Sevilla,52,Otro,móvil,avanzado,empresa,híbrido,52.8,9,85,4,6.15,11,0
U00179,universitaria,Madrid,37,M,móvil,intermedio,gratuito,híbrido,100.0,4,96,0,118.88,8,0
U00180,subvencionada,Sevilla,39,F,escritorio,avanzado,gratuito,asincrónico,75.0,4,96,2,7.48,2,0
U00181,subvencionada,Sevilla,22,M,móvil,avanzado,subvencionado,asincrónico,55.9,3,63,3,46.4,3,0
U00182,universitaria,Barcelona,55,Otro,escritorio,intermedio,subvencionado,híbrido,43.9,3,61,3,13.15,21,0
U00183,universitaria,Valencia,18,F,móvil,básico,gratuito,híbrido,50.6,3,83,3,8.67,22,0
U00184,corporativa,Sevilla,28,M,escritorio,básico,gratuito,en vivo,100.0,3,30,4,27.2,18,0
U00185,universitaria,Barcelona,26,M,escritorio,básico,gratuito,asincrónico,18.0,3,71,3,13.49,26,0
U00186,corporativa,Sevilla,20,M,móvil,básico,subvencionado,asincrónico,59.3,5,52,4,51.71,11,0
U00187,universitaria,Zaragoza,36,M,escritorio,avanzado,gratuito,asincrónico,100.0,4,80,3,33.02,2,0
U00188,subvencionada,Zaragoza,29,M,móvil,intermedio,gratuito,híbrido,81.5,2,94,4,37.63,4,0
U00189,subvencionada,Sevilla,40,M,móvil,básico,subvencionado,en vivo,23.6,2,24,1,1.04,13,0
U00190,universitaria,Valencia,53,F,tablet,intermedio,subvencionado,híbrido,40.9,5,16,4,4.33,28,0
U00191,subvencionada,Barcelona,35,F,tablet,básico,gratuito,híbrido,72.1,5,35,3,11.14,25,0
U00192,subvencionada,Valencia,55,Otro,tablet,intermedio,gratuito,en vivo,42.1,4,76,4,11.67,2,0
U00193,corporativa,Valencia,57,M,tablet,intermedio,gratuito,híbrido,84.8,2,92,4,64.6,29,0
U00194,corporativa,Madrid,36,M,tablet,básico,subvencionado,asincrónico,44.0,5,52,2,0.45,3,0
U00195,subvencionada,Valencia,42,M,tablet,intermedio,privado,asincrónico,64.8,3,91,2,25.23,19,0
U00196,corporativa,Madrid,23,Otro,móvil,intermedio,empresa,asincrónico,54.1,3,37,2,12.09,8,0
U00197,subvencionada,Valencia,46,Otro,escritorio,básico,gratuito,en vivo,31.9,3,19,4,34.81,17,0
U00198,subvencionada,Zaragoza,54,Otro,móvil,intermedio,gratuito,asincrónico,63.6,3,22,3,30.75,24,0
U00199,corporativa,Zaragoza,56,M,escritorio,avanzado,privado,asincrónico,20.3,5,58,0,26.49,23,0
U00200,subvencionada,Sevilla,22,M,móvil,básico,gratuito,en vivo,100.0,4,73,3,5.74,7,0
U00201,universitaria,Valencia,56,M,tablet,avanzado,privado,asincrónico,28.5,4,56,1,69.68,24,0
U00202,universitaria,Zaragoza,44,F,móvil,básico,empresa,en vivo,66.0,5,51,4,18.2,25,0
U00203,corporativa,Valencia,25,Otro,escritorio,intermedio,gratuito,en vivo,53.8,2,26,2,78.9,29,0
U00204,subvencionada,Barcelona,26,M,escritorio,básico,privado,híbrido,46.4,3,6,2,53.96,1,0
U00205,corporativa,Sevilla,47,F,tablet,básico,privado,asincrónico,100.0,5,38,4,13.65,29,0
U00206,universitaria,Bilbao,59,Otro,móvil,básico,privado,en vivo,73.4,3,21,0,18.4,25,0
U00207,universitaria,Bilbao,57,M,escritorio,avanzado,gratuito,asincrónico,73.3,1,40,3,27.64,9,0
U00208,corporativa,Barcelona,55,Otro,escritorio,intermedio,subvencionado,en vivo,46.5,6,38,2,75.63,14,0
U00209,subvencionada,Barcelona,28,F,escritorio,intermedio,subvencionado,asincrónico,60.6,1,79,3,77.6,29,0
U00210,corporativa,Valencia,35,F,tablet,intermedio,privado,asincrónico,76.3,2,28,0,38.44,5,0
U00211,subvencionada,Madrid,29,M,tablet,básico,privado,en vivo,15.1,2,30,0,11.57,27,0
U00212,corporativa,Bilbao,56,Otro,escritorio,intermedio,subvencionado,asincrónico,66.4,2,64,1,25.45,12,0
U00213,subvencionada,Bilbao,57,F,escritorio,básico,subvencionado,en vivo,60.6,3,79,4,21.96,13,0
U00214,corporativa,Sevilla,39,Otro,tablet,avanzado,subvencionado,asincrónico,100.0,3,95,1,7.58,15,0
U00215,universitaria,Valencia,43,F,tablet,intermedio,privado,en vivo,28.4,1,38,1,53.12,16,0
U00216,subvencionada,Sevilla,47,Otro,escritorio,básico,privado,en vivo,0.0,3,6,3,29.64,21,0
U00217,subvencionada,Madrid,24,F,móvil,intermedio,empresa,híbrido,83.4,2,31,2,23.22,14,0
U00218,corporativa,Madrid,43,M,tablet,intermedio,privado,en vivo,87.6,4,67,1,56.25,9,0
U00219,universitaria,Zaragoza,34,Otro,tablet,avanzado,gratuito,asincrónico,71.0,1,5,1,54.1,7,0
U00220,universitaria,Madrid,52,M,tablet,intermedio,gratuito,asincrónico,67.4,3,65,4,1.18,21,0
U00221,corporativa,Bilbao,27,F,móvil,básico,gratuito,en vivo,56.4,2,9,3,25.18,20,0
U00222,universitaria,Valencia,21,F,móvil,avanzado,subvencionado,en vivo,53.4,4,65,1,1.02,12,0
U00223,subvencionada,Sevilla,42,M,escritorio,avanzado,subvencionado,híbrido,100.0,7,24,0,41.31,8,0
U00224,subvencionada,Sevilla,32,F,tablet,intermedio,empresa,en vivo,74.5,6,62,4,26.73,12,0
U00225,corporativa,Zaragoza,37,F,escritorio,avanzado,subvencionado,asincrónico,17.2,6,59,0,37.54,16,0
U00226,subvencionada,Sevilla,21,Otro,tablet,básico,gratuito,en vivo,60.3,3,15,4,7.03,27,0
U00227,subvencionada,Barcelona,43,M,móvil,avanzado,gratuito,asincrónico,46.8,2,65,4,5.45,29,0
U00228,corporativa,Valencia,39,M,escritorio,básico,empresa,en vivo,37.1,2,16,1,71.83,2,0
U00229,universitaria,Barcelona,28,M,tablet,intermedio,privado,en vivo,12.2,3,62,3,9.25,5,0
U00230,universitaria,Madrid,53,M,tablet,básico,subvencionado,híbrido,38.8,1,9,0,7.74,24,0
U00231,subvencionada,Zaragoza,54,F,escritorio,básico,privado,asincrónico,100.0,3,31,2,27.61,19,0
U00232,corporativa,Madrid,55,Otro,tablet,avanzado,empresa,asincrónico,42.6,2,98,1,22.07,6,0
U00233,universitaria,Zaragoza,32,F,escritorio,intermedio,privado,en vivo,89.0,3,53,1,15.12,15,0
U00234,subvencionada,Sevilla,40,Otro,tablet,avanzado,subvencionado,asincrónico,64.0,5,58,0,8.2,21,0
U00235,corporativa,Sevilla,26,F,móvil,avanzado,subvencionado,asincrónico,62.2,5,88,0,14.59,12,0
U00236,universitaria,Madrid,30,F,móvil,intermedio,privado,híbrido,96.5,1,22,0,44.88,29,0
U00237,corporativa,Madrid,56,M,móvil,avanzado,gratuito,híbrido,44.1,8,60,1,67.38,26,0
U00238,corporativa,Sevilla,57,M,tablet,avanzado,gratuito,híbrido,78.8,2,51,2,12.61,2,0
U00239,subvencionada,Madrid,45,F,móvil,intermedio,empresa,en vivo,59.8,4,59,0,47.8,9,0
U00240,subvencionada,Bilbao,52,M,escritorio,intermedio,subvencionado,en vivo,19.5,3,71,1,5.62,21,0
U00241,universitaria,Bilbao,50,M,tablet,avanzado,privado,asincrónico,42.4,7,93,4,29.89,28,0
U00242,universitaria,Valencia,58,M,móvil,avanzado,gratuito,híbrido,96.6,2,9,0,29.52,25,0
U00243,subvencionada,Barcelona,31,F,tablet,básico,empresa,asincrónico,77.1,7,16,3,3.93,2,0
U00244,corporativa,Valencia,51,M,escritorio,avanzado,privado,asincrónico,51.3,1,59,2,26.39,5,0
